global_rank,global_candidate_count,canonical_key,global_priority_score,maximum_domain_score,domain_breadth_bonus,domain_count,assigned_domains,strongest_domain,domain_rankings,title,year,authors,doi,pmid,arxiv,venue,publication_type,citation_count,abstract_available,url,query_family_ids,discovery_queries,admission_state
167,1303,doi:10.2352/issn.2694-118x.2020.lim-08,10.477121,10.477121,0.0,1,"[""camera_metamerism_and_spectral_reconstruction""]",camera_metamerism_and_spectral_reconstruction,"[{""domain"":""camera_metamerism_and_spectral_reconstruction"",""domain_candidate_count"":102,""domain_rank"":16,""domain_score"":10.477121}]",Colour Fidelity in Spectral Reconstruction from RGB Images,2020,"[""Yi-Tun Lin""]",10.2352/issn.2694-118x.2020.lim-08,,,London Imaging Meeting,journal-article,2,False,https://doi.org/10.2352/issn.2694-118x.2020.lim-08,"[""QF-006""]","[""human skin camera metamerism spectral reconstruction RGB""]",UNSCREENED_NOT_ADMITTED
168,1303,doi:10.1520/jfs13879j,10.477121,10.477121,0.0,1,"[""spectral_reflectance_geometry_and_dimension""]",spectral_reflectance_geometry_and_dimension,"[{""domain"":""spectral_reflectance_geometry_and_dimension"",""domain_candidate_count"":115,""domain_rank"":29,""domain_score"":10.477121}]",The Differentiation of Illicit Methaqualone Tablet Formulations Using Principal Component and Soft Independent Modeling of Class Analogy Analysis of Their Near-Infrared Reflectance Spectra,1995,"[""EF Van Zyl"",""M Louw""]",10.1520/jfs13879j,,,Journal of Forensic Sciences,journal-article,2,True,https://doi.org/10.1520/jfs13879j,"[""QF-004""]","[""human skin reflectance spectra principal component analysis""]",UNSCREENED_NOT_ADMITTED
169,1303,doi:10.1007/s10043-008-0049-1,10.414973,10.414973,0.0,1,"[""spectral_reflectance_geometry_and_dimension""]",spectral_reflectance_geometry_and_dimension,"[{""domain"":""spectral_reflectance_geometry_and_dimension"",""domain_candidate_count"":115,""domain_rank"":30,""domain_score"":10.414973}]",Recovery of reflectance spectra from colorimetric data using principal component analysis embedded regression technique,2008,"[""Tina Harifi"",""Seyed Hossein Amirshahi"",""Farnaz Agahian""]",10.1007/s10043-008-0049-1,,,Optical Review,journal-article,25,False,https://doi.org/10.1007/s10043-008-0049-1,"[""QF-004""]","[""human skin reflectance spectra principal component analysis""]",UNSCREENED_NOT_ADMITTED
170,1303,doi:10.1038/s43856-024-00550-7,10.342423,9.842423,0.5,3,"[""multispectral_band_selection_and_measurement_design"",""skin_colorimetry_ita_and_color_measurement"",""skin_tissue_optical_forward_models""]",multispectral_band_selection_and_measurement_design,"[{""domain"":""multispectral_band_selection_and_measurement_design"",""domain_candidate_count"":116,""domain_rank"":12,""domain_score"":9.842423},{""domain"":""skin_colorimetry_ita_and_color_measurement"",""domain_candidate_count"":106,""domain_rank"":37,""domain_score"":7.342423},{""domain"":""skin_tissue_optical_forward_models"",""domain_candidate_count"":96,""domain_rank"":47,""domain_score"":9.842423}]",Melanometry for objective evaluation of skin pigmentation in pulse oximetry studies.,2024,"[""Vasudevan S"",""Vogt WC"",""Weininger S"",""Pfefer TJ.""]",10.1038/s43856-024-00550-7,38992188,,,,21,True,https://europepmc.org/article/MED/38992188,"[""QF-001"",""QF-007"",""QF-009""]","[""colorimeter spectrophotometer skin tone agreement"",""individual typology angle validity skin color measurement"",""multispectral band selection melanin hemoglobin skin"",""skin color measurement body site variability ITA"",""skin diffuse reflectance forward model melanin hemoglobin scattering""]",UNSCREENED_NOT_ADMITTED
171,1303,doi:10.1111/srt.12583,10.329181,10.079181,0.25,2,"[""multispectral_band_selection_and_measurement_design"",""spectral_reflectance_geometry_and_dimension""]",spectral_reflectance_geometry_and_dimension,"[{""domain"":""multispectral_band_selection_and_measurement_design"",""domain_candidate_count"":116,""domain_rank"":50,""domain_score"":7.579181},{""domain"":""spectral_reflectance_geometry_and_dimension"",""domain_candidate_count"":115,""domain_rank"":33,""domain_score"":10.079181}]",Identification of tumor margins using diffuse reflectance spectroscopy with an extended‐wavelength spectrum in a porcine model,2018,"[""U. Dahlstrand"",""R. Sheikh"",""C. D. Nguyen"",""J. Hult"",""N. Reistad"",""M. Malmsjö""]",10.1111/srt.12583,,,Skin Research and Technology,journal-article,11,True,https://doi.org/10.1111/srt.12583,"[""QF-004"",""QF-007""]","[""body site conditioned skin reflectance spectrum dimension"",""optimal wavelength selection skin reflectance spectroscopy""]",UNSCREENED_NOT_ADMITTED
172,1303,doi:10.1109/citrex64975.2025.10974934,10.30103,10.30103,0.0,1,"[""dermatology_ai_fairness_and_skin_tone""]",dermatology_ai_fairness_and_skin_tone,"[{""domain"":""dermatology_ai_fairness_and_skin_tone"",""domain_candidate_count"":111,""domain_rank"":22,""domain_score"":10.30103}]",Algorithmic Bias Detection: A Focus on Skin Tone and Gender Fairness in AI Models,2025,"[""Happy Iguare"",""Peter Taiwo""]",10.1109/citrex64975.2025.10974934,,,"2025 IEEE Symposium on Trustworthy, Explainable and Responsible Computational Intelligence (CITREx)",proceedings-article,1,False,https://doi.org/10.1109/citrex64975.2025.10974934,"[""QF-011""]","[""skin disease classification fairness skin tone""]",UNSCREENED_NOT_ADMITTED
173,1303,doi:10.1109/eecsi63442.2024.10776291,10.30103,10.30103,0.0,1,"[""dermatology_ai_fairness_and_skin_tone""]",dermatology_ai_fairness_and_skin_tone,"[{""domain"":""dermatology_ai_fairness_and_skin_tone"",""domain_candidate_count"":111,""domain_rank"":23,""domain_score"":10.30103}]",Preprocessing with Skin Segmentation to Improve Monk Skin Tone (MST) Classification,2024,"[""Rizka Vanissa Alifia"",""Media Anugerah Ayu""]",10.1109/eecsi63442.2024.10776291,,,"2024 11th International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)",proceedings-article,1,False,https://doi.org/10.1109/eecsi63442.2024.10776291,"[""QF-011""]","[""skin disease classification fairness skin tone""]",UNSCREENED_NOT_ADMITTED
174,1303,doi:10.1145/3681758.3697993,10.30103,10.30103,0.0,1,"[""camera_metamerism_and_spectral_reconstruction""]",camera_metamerism_and_spectral_reconstruction,"[{""domain"":""camera_metamerism_and_spectral_reconstruction"",""domain_candidate_count"":102,""domain_rank"":17,""domain_score"":10.30103}]",Real-time 3D Human Reconstruction and Rendering System from a Single RGB Camera,2024,"[""Yuanwang Yang"",""Qiao Feng"",""Yu-Kun Lai"",""Kun Li""]",10.1145/3681758.3697993,,,SIGGRAPH Asia 2024 Technical Communications,proceedings-article,1,False,https://doi.org/10.1145/3681758.3697993,"[""QF-006""]","[""human skin camera metamerism spectral reconstruction RGB""]",UNSCREENED_NOT_ADMITTED
175,1303,doi:10.1145/3593013.3594114,10.278754,10.278754,0.0,1,"[""dermatology_ai_fairness_and_skin_tone""]",dermatology_ai_fairness_and_skin_tone,"[{""domain"":""dermatology_ai_fairness_and_skin_tone"",""domain_candidate_count"":111,""domain_rank"":24,""domain_score"":10.278754}]",Skin Deep: Investigating Subjectivity in Skin Tone Annotations for Computer Vision Benchmark Datasets,2023,"[""Teanna Barrett"",""Quanze Chen"",""Amy Zhang""]",10.1145/3593013.3594114,,,2023 ACM Conference on Fairness Accountability and Transparency,proceedings-article,18,False,https://doi.org/10.1145/3593013.3594114,"[""QF-011""]","[""skin disease classification fairness skin tone""]",UNSCREENED_NOT_ADMITTED
176,1303,doi:10.21236/ad0059875,10.278151,9.778151,0.5,3,"[""camera_spectral_sensitivity_and_observation_operators"",""skin_reflectance_inverse_models"",""spectral_reflectance_geometry_and_dimension""]",spectral_reflectance_geometry_and_dimension,"[{""domain"":""camera_spectral_sensitivity_and_observation_operators"",""domain_candidate_count"":113,""domain_rank"":106,""domain_score"":2.278151},{""domain"":""skin_reflectance_inverse_models"",""domain_candidate_count"":109,""domain_rank"":64,""domain_score"":7.278151},{""domain"":""spectral_reflectance_geometry_and_dimension"",""domain_candidate_count"":115,""domain_rank"":36,""domain_score"":9.778151}]",THE SPECTRAL REFLECTANCE OF HUMAN SKIN IN THE REGION 0.7-2.6 MU,1955,"[""JOHN A. JACQUEZ"",""JOHN HUSS"",""WAYNE MCKEEHAN"",""JAMES M. DIMITROFF"",""HANS F. KUPPENHEIM""]",10.21236/ad0059875,,,,report,5,False,https://doi.org/10.21236/ad0059875,"[""QF-002"",""QF-004"",""QF-005""]","[""camera spectral sensitivity human skin reflectance operator"",""intrinsic dimension human skin spectral reflectance"",""inverse rendering human skin spectral reflectance""]",UNSCREENED_NOT_ADMITTED
177,1303,doi:10.1109/tip.2017.2764264,10.255273,10.255273,0.0,1,"[""capture_variability_white_balance_and_illumination""]",capture_variability_white_balance_and_illumination,"[{""domain"":""capture_variability_white_balance_and_illumination"",""domain_candidate_count"":113,""domain_rank"":4,""domain_score"":10.255273}]",A Data Set for Camera-Independent Color Constancy,2018,"[""Caglar Aytekin"",""Jarno Nikkanen"",""Moncef Gabbouj""]",10.1109/tip.2017.2764264,,,IEEE Transactions on Image Processing,journal-article,17,False,https://doi.org/10.1109/tip.2017.2764264,"[""QF-010""]","[""skin image color constancy camera lighting domain shift""]",UNSCREENED_NOT_ADMITTED
178,1303,doi:10.1109/iccphot.2016.7492879,10.255273,10.255273,0.0,1,"[""capture_variability_white_balance_and_illumination""]",capture_variability_white_balance_and_illumination,"[{""domain"":""capture_variability_white_balance_and_illumination"",""domain_candidate_count"":113,""domain_rank"":5,""domain_score"":10.255273}]",White balance under mixed illumination using flash photography,2016,"[""Zhuo Hui"",""Aswin C. Sankaranarayanan"",""Kalyan Sunkavalli"",""Sunil Hadap""]",10.1109/iccphot.2016.7492879,,,2016 IEEE International Conference on Computational Photography (ICCP),proceedings-article,17,False,https://doi.org/10.1109/iccphot.2016.7492879,"[""QF-010""]","[""dermatology image illumination white balance variability"",""skin photography capture variability exposure white balance""]",UNSCREENED_NOT_ADMITTED
179,1303,doi:10.1109/iccv.2013.348,10.255273,10.255273,0.0,1,"[""camera_metamerism_and_spectral_reconstruction""]",camera_metamerism_and_spectral_reconstruction,"[{""domain"":""camera_metamerism_and_spectral_reconstruction"",""domain_candidate_count"":102,""domain_rank"":18,""domain_score"":10.255273}]",A Flexible Scene Representation for 3D Reconstruction Using an RGB-D Camera,2013,"[""Diego Thomas"",""Akihiro Sugimoto""]",10.1109/iccv.2013.348,,,2013 IEEE International Conference on Computer Vision,proceedings-article,17,False,https://doi.org/10.1109/iccv.2013.348,"[""QF-006""]","[""human skin camera metamerism spectral reconstruction RGB""]",UNSCREENED_NOT_ADMITTED
180,1303,doi:10.1117/12.2615428,10.25,10.0,0.25,2,"[""melanin_hemoglobin_and_scattering_identifiability"",""skin_reflectance_inverse_models""]",skin_reflectance_inverse_models,"[{""domain"":""melanin_hemoglobin_and_scattering_identifiability"",""domain_candidate_count"":71,""domain_rank"":27,""domain_score"":7.5},{""domain"":""skin_reflectance_inverse_models"",""domain_candidate_count"":109,""domain_rank"":33,""domain_score"":10.0}]",Tissue chromophore concentration estimation aided by artificial neural network trained with finite element modelled diffuse reflectance spectrum,2021,"[""Vysakh Vasudevan"",""N. Sujatha""]",10.1117/12.2615428,,,Diffuse Optical Spectroscopy and Imaging VIII,proceedings-article,0,False,https://doi.org/10.1117/12.2615428,"[""QF-002"",""QF-003""]","[""inverse model skin reflectance chromophore concentration"",""skin chromophore parameter identifiability diffuse reflectance""]",UNSCREENED_NOT_ADMITTED
181,1303,doi:10.1117/12.2566111,10.25,10.0,0.25,2,"[""fisher_information_and_cramer_rao_skin_imaging"",""melanin_hemoglobin_and_scattering_identifiability""]",fisher_information_and_cramer_rao_skin_imaging,"[{""domain"":""fisher_information_and_cramer_rao_skin_imaging"",""domain_candidate_count"":120,""domain_rank"":3,""domain_score"":10.0},{""domain"":""melanin_hemoglobin_and_scattering_identifiability"",""domain_candidate_count"":71,""domain_rank"":28,""domain_score"":7.5}]","Nik Kollias, the spectroscopy of melanin, and current advances in skin optics (Conference Presentation)",2020,"[""Steven L. Jacques""]",10.1117/12.2566111,,,Photonics in Dermatology and Plastic Surgery 2020,proceedings-article,0,False,https://doi.org/10.1117/12.2566111,"[""QF-003"",""QF-008""]","[""Fisher information skin spectroscopy melanin hemoglobin"",""melanin hemoglobin scattering identifiability skin spectroscopy""]",UNSCREENED_NOT_ADMITTED
182,1303,doi:10.1109/icpr.2010.284,10.230449,10.230449,0.0,1,"[""multispectral_band_selection_and_measurement_design""]",multispectral_band_selection_and_measurement_design,"[{""domain"":""multispectral_band_selection_and_measurement_design"",""domain_candidate_count"":116,""domain_rank"":11,""domain_score"":10.230449}]",Feature Band Selection for Multispectral Palmprint Recognition,2010,"[""Zhenhau Guo"",""Lei Zhang"",""David Zhang""]",10.1109/icpr.2010.284,,,2010 20th International Conference on Pattern Recognition,proceedings-article,16,False,https://doi.org/10.1109/icpr.2010.284,"[""QF-007""]","[""multispectral band selection melanin hemoglobin skin""]",UNSCREENED_NOT_ADMITTED
183,1303,doi:10.1007/s00414-005-0541-0,10.230449,10.230449,0.0,1,"[""skin_reflectance_inverse_models""]",skin_reflectance_inverse_models,"[{""domain"":""skin_reflectance_inverse_models"",""domain_candidate_count"":109,""domain_rank"":31,""domain_score"":10.230449}]",A Monte Carlo-based model for steady-state diffuse reflectance spectrometry in human skin: estimation of carbon monoxide concentration in livor mortis,2005,"[""M. Bohnert"",""R. Walther"",""T. Roths"",""J. Honerkamp""]",10.1007/s00414-005-0541-0,,,International Journal of Legal Medicine,journal-article,16,False,https://doi.org/10.1007/s00414-005-0541-0,"[""QF-002""]","[""inverse model skin reflectance chromophore concentration""]",UNSCREENED_NOT_ADMITTED
184,1303,doi:10.1070/qe2014v044n01abeh015233,10.146128,10.146128,0.0,1,"[""spectral_reflectance_geometry_and_dimension""]",spectral_reflectance_geometry_and_dimension,"[{""domain"":""spectral_reflectance_geometry_and_dimension"",""domain_candidate_count"":115,""domain_rank"":32,""domain_score"":10.146128}]",Analytical model of diffuse reflectance spectrum of skin tissue,2014,"[""S A Lisenko"",""M M Kugeiko"",""V A Firago"",""A N Sobchuk""]",10.1070/qe2014v044n01abeh015233,,,Quantum Electronics,journal-article,13,False,https://doi.org/10.1070/qe2014v044n01abeh015233,"[""QF-004""]","[""body site conditioned skin reflectance spectrum dimension""]",UNSCREENED_NOT_ADMITTED
185,1303,doi:10.1134/s0030400x1410021x,10.095098,9.845098,0.25,2,"[""melanin_hemoglobin_and_scattering_identifiability"",""skin_reflectance_inverse_models""]",skin_reflectance_inverse_models,"[{""domain"":""melanin_hemoglobin_and_scattering_identifiability"",""domain_candidate_count"":71,""domain_rank"":30,""domain_score"":7.345098},{""domain"":""skin_reflectance_inverse_models"",""domain_candidate_count"":109,""domain_rank"":34,""domain_score"":9.845098}]",Retrieval of chromophore concentration in a tissue phantom by diffuse reflectance spectroscopy,2014,"[""A. Sircan-Kucuksayan"",""M. Canpolat""]",10.1134/s0030400x1410021x,,,Optics and Spectroscopy,journal-article,6,False,https://doi.org/10.1134/s0030400x1410021x,"[""QF-002"",""QF-003""]","[""inverse model skin reflectance chromophore concentration"",""skin chromophore parameter identifiability diffuse reflectance""]",UNSCREENED_NOT_ADMITTED
186,1303,doi:10.1117/1.jbo.29.s1.s11506,10.05103,9.80103,0.25,2,"[""skin_reflectance_inverse_models"",""skin_tissue_optical_forward_models""]",skin_reflectance_inverse_models,"[{""domain"":""skin_reflectance_inverse_models"",""domain_candidate_count"":109,""domain_rank"":36,""domain_score"":9.80103},{""domain"":""skin_tissue_optical_forward_models"",""domain_candidate_count"":96,""domain_rank"":48,""domain_score"":9.80103}]",Effects of skin tone on photoacoustic imaging and oximetry.,2024,"[""Else TR"",""Hacker L"",""Gröhl J"",""Bunce EV"",""Tao R"",""Bohndiek SE.""]",10.1117/1.jbo.29.s1.s11506,38125716,,,,19,True,https://europepmc.org/article/MED/38125716,"[""QF-001"",""QF-002""]","[""inverse model skin reflectance chromophore concentration"",""skin diffuse reflectance forward model melanin hemoglobin scattering""]",UNSCREENED_NOT_ADMITTED
187,1303,doi:10.1016/j.porgcoat.2015.06.020,10.041393,10.041393,0.0,1,"[""spectral_reflectance_geometry_and_dimension""]",spectral_reflectance_geometry_and_dimension,"[{""domain"":""spectral_reflectance_geometry_and_dimension"",""domain_candidate_count"":115,""domain_rank"":34,""domain_score"":10.041393}]",Classification of batch processes in automotive metallic coatings using principal component analysis similarity factors from reflectance spectra,2015,"[""José M. Medina"",""José A. Díaz""]",10.1016/j.porgcoat.2015.06.020,,,Progress in Organic Coatings,journal-article,10,False,https://doi.org/10.1016/j.porgcoat.2015.06.020,"[""QF-004""]","[""human skin reflectance spectra principal component analysis""]",UNSCREENED_NOT_ADMITTED
188,1303,doi:10.1016/j.jaad.2026.04.163,10.0,10.0,0.0,1,"[""dermatology_ai_fairness_and_skin_tone""]",dermatology_ai_fairness_and_skin_tone,"[{""domain"":""dermatology_ai_fairness_and_skin_tone"",""domain_candidate_count"":111,""domain_rank"":25,""domain_score"":10.0}]",74492 Advancing Ethical AI in Dermatology: A Fitzpatrick Skin Type Classifier to Prevent Diagnostic Bias,2026,"[""Thibault Maho"",""Bryan Boule""]",10.1016/j.jaad.2026.04.163,,,Journal of the American Academy of Dermatology,journal-article,0,False,https://doi.org/10.1016/j.jaad.2026.04.163,"[""QF-011""]","[""dermatology AI subgroup performance Fitzpatrick skin type""]",UNSCREENED_NOT_ADMITTED
189,1303,doi:10.1111/ijd.70452,10.0,10.0,0.0,1,"[""dermatology_dataset_duplicates_labels_and_quality""]",dermatology_dataset_duplicates_labels_and_quality,"[{""domain"":""dermatology_dataset_duplicates_labels_and_quality"",""domain_candidate_count"":93,""domain_rank"":5,""domain_score"":10.0}]",Diagnostic Accuracy of Three Large Language Models on Clinical Images Varies by Skin Tone: Findings From the Stanford Diverse Dermatology Images Dataset,2026,"[""Eunice Y. Ju"",""Ahana Sinharoy"",""Nicole Edmonds"",""R. Hal Flowers""]",10.1111/ijd.70452,,,International Journal of Dermatology,journal-article,0,False,https://doi.org/10.1111/ijd.70452,"[""QF-012""]","[""dermatology dataset duplicate images label quality""]",UNSCREENED_NOT_ADMITTED
190,1303,doi:10.5220/0014632400004084,10.0,10.0,0.0,1,"[""dermatology_dataset_duplicates_labels_and_quality""]",dermatology_dataset_duplicates_labels_and_quality,"[{""domain"":""dermatology_dataset_duplicates_labels_and_quality"",""domain_candidate_count"":93,""domain_rank"":6,""domain_score"":10.0}]",SynShapes: A Synthetic Image-Annotation Dataset for Edge Detection,2026,"[""Guillermo Castillo"",""Xavier Soria"",""Angel Sappa""]",10.5220/0014632400004084,,,Proceedings of the 21st International Conference on Computer Vision Theory and Applications,proceedings-article,0,False,https://doi.org/10.5220/0014632400004084,"[""QF-012""]","[""dermatology image dataset annotation noise deduplication""]",UNSCREENED_NOT_ADMITTED
191,1303,doi:10.1109/icip55913.2025.11084287,10.0,10.0,0.0,1,"[""capture_variability_white_balance_and_illumination""]",capture_variability_white_balance_and_illumination,"[{""domain"":""capture_variability_white_balance_and_illumination"",""domain_candidate_count"":113,""domain_rank"":6,""domain_score"":10.0}]",Sensor Distance Learning For Cross-Camera Color Constancy,2025,"[""Rafique Ahmed"",""Damien Muselet"",""Philippe Colantoni"",""Alain Trémeau""]",10.1109/icip55913.2025.11084287,,,2025 IEEE International Conference on Image Processing (ICIP),proceedings-article,0,False,https://doi.org/10.1109/icip55913.2025.11084287,"[""QF-010""]","[""skin image color constancy camera lighting domain shift""]",UNSCREENED_NOT_ADMITTED
192,1303,doi:10.1109/ietacs68750.2025.11385763,10.0,10.0,0.0,1,"[""dermatology_ai_fairness_and_skin_tone""]",dermatology_ai_fairness_and_skin_tone,"[{""domain"":""dermatology_ai_fairness_and_skin_tone"",""domain_candidate_count"":111,""domain_rank"":26,""domain_score"":10.0}]",Multi-Skin Tone Aware Skin Disease Classification Using Dual-Stream CNN-Transformer Fusion with Explainable Attention,2025,"[""Shivam Chaurasiya"",""Rohit Bajaj""]",10.1109/ietacs68750.2025.11385763,,,2025 International Conference on Innovations and Emerging Technologies In AI &amp;amp; Communication Systems (IETACS),proceedings-article,0,False,https://doi.org/10.1109/ietacs68750.2025.11385763,"[""QF-011""]","[""skin disease classification fairness skin tone""]",UNSCREENED_NOT_ADMITTED
193,1303,doi:10.1117/12.3056085,10.0,10.0,0.0,1,"[""spectral_reflectance_geometry_and_dimension""]",spectral_reflectance_geometry_and_dimension,"[{""domain"":""spectral_reflectance_geometry_and_dimension"",""domain_candidate_count"":115,""domain_rank"":35,""domain_score"":10.0}]",The digital twin framework of skin reflectance spectrum for visual perception,2025,"[""Boyang Ji"",""Zongze Huo"",""Shuai Xia"",""Shibing Wang"",""Zhiyong Wang""]",10.1117/12.3056085,,,Photonics in Dermatology and Plastic Surgery 2025,proceedings-article,0,False,https://doi.org/10.1117/12.3056085,"[""QF-004""]","[""body site conditioned skin reflectance spectrum dimension""]",UNSCREENED_NOT_ADMITTED
194,1303,doi:10.1109/iccit64611.2024.11022114,10.0,10.0,0.0,1,"[""dermatology_ai_fairness_and_skin_tone""]",dermatology_ai_fairness_and_skin_tone,"[{""domain"":""dermatology_ai_fairness_and_skin_tone"",""domain_candidate_count"":111,""domain_rank"":27,""domain_score"":10.0}]",Addressing Racial Bias in HAM10000 with Fitzpatrick Skin Tone Labeling for Skin Cancer Classification,2024,"[""Fakrul Hassan"",""Shahriar Ahmad Fahim"",""Md.Tawfiq Zaman"",""Nusrat Jahan Farin""]",10.1109/iccit64611.2024.11022114,,,2024 27th International Conference on Computer and Information Technology (ICCIT),proceedings-article,0,False,https://doi.org/10.1109/iccit64611.2024.11022114,"[""QF-011""]","[""skin disease classification fairness skin tone""]",UNSCREENED_NOT_ADMITTED
195,1303,doi:10.1109/sbfotoniopc62248.2024.10813478,10.0,10.0,0.0,1,"[""skin_colorimetry_ita_and_color_measurement""]",skin_colorimetry_ita_and_color_measurement,"[{""domain"":""skin_colorimetry_ita_and_color_measurement"",""domain_candidate_count"":106,""domain_rank"":8,""domain_score"":10.0}]",Evaluation of the Influence of Different Illuminants on Skin Color Classification Using the Individual Typology Angle,2024,"[""Allan C. R. Barboza"",""Renato E. de Araújo""]",10.1109/sbfotoniopc62248.2024.10813478,,,2024 SBFoton International Optics and Photonics Conference (SBFoton IOPC),proceedings-article,0,False,https://doi.org/10.1109/sbfotoniopc62248.2024.10813478,"[""QF-009""]","[""individual typology angle validity skin color measurement""]",UNSCREENED_NOT_ADMITTED
196,1303,doi:10.2352/ei.2023.35.15.color-199,10.0,10.0,0.0,1,"[""camera_metamerism_and_spectral_reconstruction""]",camera_metamerism_and_spectral_reconstruction,"[{""domain"":""camera_metamerism_and_spectral_reconstruction"",""domain_candidate_count"":102,""domain_rank"":19,""domain_score"":10.0}]",Machine learning estimation of camera spectral sensitivity functions with non-RGB color filters,2023,"[""Abraham Sachs"",""Ramakrishna Kakarala""]",10.2352/ei.2023.35.15.color-199,,,Electronic Imaging,journal-article,0,False,https://doi.org/10.2352/ei.2023.35.15.color-199,"[""QF-006""]","[""metameric skin spectra camera spectral sensitivity""]",UNSCREENED_NOT_ADMITTED
197,1303,doi:10.36463/idw.2023.0769,10.0,10.0,0.0,1,"[""camera_metamerism_and_spectral_reconstruction""]",camera_metamerism_and_spectral_reconstruction,"[{""domain"":""camera_metamerism_and_spectral_reconstruction"",""domain_candidate_count"":102,""domain_rank"":20,""domain_score"":10.0}]",Deep Learning for Reducing Metameric Color Mismatch in Camera-based Display Measurement,2023,"[""Guang-Jhih Liou"",""Pei-Li Sun""]",10.36463/idw.2023.0769,,,Proceedings of the International Display Workshops,journal-article,0,False,https://doi.org/10.36463/idw.2023.0769,"[""QF-006""]","[""metameric skin spectra camera spectral sensitivity""]",UNSCREENED_NOT_ADMITTED
198,1303,doi:10.5573/ieiespc.2023.12.4.334,10.0,10.0,0.0,1,"[""camera_spectral_sensitivity_and_observation_operators""]",camera_spectral_sensitivity_and_observation_operators,"[{""domain"":""camera_spectral_sensitivity_and_observation_operators"",""domain_candidate_count"":113,""domain_rank"":6,""domain_score"":10.0}]",Deep Fusion: Illuminant Estimation using a Camera and a Spectral Sensor,2023,"[""Sungmin Woo"",""Rayun Boo""]",10.5573/ieiespc.2023.12.4.334,,,IEIE Transactions on Smart Processing &amp; Computing,journal-article,0,False,https://doi.org/10.5573/ieiespc.2023.12.4.334,"[""QF-005""]","[""camera illuminant spectral observation model skin""]",UNSCREENED_NOT_ADMITTED
199,1303,doi:10.5220/0010807000003124,10.0,10.0,0.0,1,"[""camera_metamerism_and_spectral_reconstruction""]",camera_metamerism_and_spectral_reconstruction,"[{""domain"":""camera_metamerism_and_spectral_reconstruction"",""domain_candidate_count"":102,""domain_rank"":21,""domain_score"":10.0}]",3D Object Reconstruction using Stationary RGB Camera,2022,"[""José S. Júnior"",""Gustavo Lima"",""Adam Pinto"",""João Lima"",""Veronica Teichrieb"",""Jonysberg Quintino"",""Fabio B. da Silva"",""Andre Santos"",""Helder Pinho""]",10.5220/0010807000003124,,,"Proceedings of the 17th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",proceedings-article,0,False,https://doi.org/10.5220/0010807000003124,"[""QF-006""]","[""human skin camera metamerism spectral reconstruction RGB""]",UNSCREENED_NOT_ADMITTED
200,1303,doi:10.2352/issn.2169-2629.2020.28.41,10.0,10.0,0.0,1,"[""camera_metamerism_and_spectral_reconstruction""]",camera_metamerism_and_spectral_reconstruction,"[{""domain"":""camera_metamerism_and_spectral_reconstruction"",""domain_candidate_count"":102,""domain_rank"":22,""domain_score"":10.0}]",Linear Spectral Estimate Refinement for Spectral Reconstruction from RGB,2020,"[""Tarek Stiebel"",""Dorit Merhof""]",10.2352/issn.2169-2629.2020.28.41,,,Color and Imaging Conference,journal-article,0,False,https://doi.org/10.2352/issn.2169-2629.2020.28.41,"[""QF-006""]","[""human skin camera metamerism spectral reconstruction RGB""]",UNSCREENED_NOT_ADMITTED
201,1303,doi:10.3390/s19224897,10.0,10.0,0.0,1,"[""camera_metamerism_and_spectral_reconstruction""]",camera_metamerism_and_spectral_reconstruction,"[{""domain"":""camera_metamerism_and_spectral_reconstruction"",""domain_candidate_count"":102,""domain_rank"":23,""domain_score"":10.0}]",Similarity Graph-Based Camera Tracking for Effective 3D Geometry Reconstruction with Mobile RGB-D Camera,2019,"[""Jaepung An"",""Sangbeom Lee"",""Sanghun Park"",""Insung Ihm""]",10.3390/s19224897,,,Sensors,journal-article,0,True,https://doi.org/10.3390/s19224897,"[""QF-006""]","[""human skin camera metamerism spectral reconstruction RGB""]",UNSCREENED_NOT_ADMITTED
202,1303,doi:10.1364/pxrayms.1994.ma.1,10.0,10.0,0.0,1,"[""skin_tissue_optical_forward_models""]",skin_tissue_optical_forward_models,"[{""domain"":""skin_tissue_optical_forward_models"",""domain_candidate_count"":96,""domain_rank"":44,""domain_score"":10.0}]",Spectral Trends in the Status and Limitations of Multilayer Reflectance,1994,"[""Jeffrey B. Kortright""]",10.1364/pxrayms.1994.ma.1,,,Physics of X-Ray Multilayer Structures,proceedings-article,0,True,https://doi.org/10.1364/pxrayms.1994.ma.1,"[""QF-001""]","[""multilayer skin optical model spectral reflectance""]",UNSCREENED_NOT_ADMITTED
